SK_ID_CURR,TARGET
100001,0.06
100005,0.06
100013,0.05
100028,0.06
100038,0.14
100042,0.08
100057,0.05
100065,0.11
100066,0.06
100067,0.16
100074,0.07
100090,0.12
100091,0.26
100092,0.21
100106,0.09
100107,0.17
100109,0.12
100117,0.07
100128,0.16
100141,0.1
100150,0.03
100168,0.08
100169,0.09
100170,0.04
100171,0.1
100172,0.14
100184,0.07
100187,0.13
100212,0.2
100222,0.08
100223,0.07
100232,0.05
100241,0.22
100245,0.09
100253,0.05
100256,0.12
100271,0.1
100278,0.3
100280,0.1
100306,0.15
100311,0.21
100312,0.13
100330,0.27
100331,0.11
100352,0.12
100358,0.12
100367,0.05
100382,0.2
100384,0.09
100385,0.11
100386,0.05
100399,0.03
100404,0.08
100416,0.08
100422,0.18
100426,0.1
100438,0.08
100444,0.24
100445,0.13
100446,0.16
100447,0.04
100450,0.05
100466,0.09
100483,0.05
100484,0.08
100494,0.11
100510,0.15
100512,0.13
100517,0.03
100548,0.03
100551,0.1
100552,0.16
100553,0.12
100561,0.11
100568,0.29
100569,0.05
100591,0.08
100592,0.04
100602,0.09
100607,0.04
100613,0.06
100617,0.14
100618,0.12
100622,0.14
100625,0.21
100677,0.17
100699,0.05
100702,0.36
100711,0.1
100729,0.25
100740,0.2
100744,0.22
100745,0.13
100747,0.13
100751,0.26
100752,0.11
100753,0.33
100754,0.13
100760,0.07
100762,0.1
100763,0.14
100765,0.07
100770,0.1
100772,0.05
100777,0.03
100791,0.05
100792,0.02
100797,0.03
100823,0.1
100826,0.13
100830,0.04
100836,0.26
100872,0.16
100910,0.16
100913,0.25
100918,0.19
100931,0.03
100952,0.09
100953,0.09
100965,0.19
100970,0.01
100982,0.27
100983,0.26
100984,0.08
100987,0.06
100997,0.08
100998,0.1
101002,0.16
101005,0.27
101008,0.24
101020,0.1
101021,0.06
101024,0.18
101025,0.17
101026,0.07
101031,0.04
101041,0.01
101051,0.05
101055,0.18
101056,0.33
101057,0.06
101064,0.11
101079,0.16
101087,0.06
101090,0.05
101092,0.14
101097,0.14
101099,0.07
101107,0.15
101118,0.06
101125,0.07
101126,0.03
101128,0.03
101136,0.18
101140,0.25
101149,0.1
101160,0.09
101169,0.18
101181,0.09
101186,0.04
101190,0.18
101193,0.14
101194,0.14
101198,0.24
101200,0.1
101204,0.12
101211,0.12
101213,0.13
101223,0.1
101225,0.16
101237,0.2
101243,0.12
101244,0.17
101258,0.03
101259,0.21
101268,0.23
101269,0.06
101271,0.14
101279,0.04
101281,0.16
101287,0.09
101292,0.09
101294,0.09
101296,0.06
101297,0.03
101299,0.11
101301,0.09
101305,0.1
101308,0.14
101318,0.03
101327,0.25
101329,0.04
101332,0.06
101337,0.09
101343,0.03
101345,0.05
101346,0.01
101353,0.02
101354,0.23
101355,0.22
101356,0.04
101362,0.13
101363,0.25
101365,0.01
101366,0.12
101367,0.19
101368,0.0
101374,0.14
101380,0.04
101383,0.09
101398,0.07
101399,0.27
101401,0.11
101412,0.15
101426,0.07
101427,0.29
101428,0.21
101429,0.16
101434,0.07
101440,0.21
101448,0.09
101449,0.16
101465,0.11
101467,0.1
101472,0.1
101478,0.17
101497,0.11
101504,0.12
101547,0.07
101548,0.13
101555,0.28
101570,0.08
101572,0.09
101578,0.1
101580,0.16
101588,0.24
101602,0.1
101610,0.26
101614,0.09
101616,0.11
101643,0.09
101644,0.06
101649,0.14
101650,0.12
101665,0.01
101667,0.14
101669,0.16
101674,0.09
101675,0.05
101678,0.09
101682,0.12
101686,0.08
101697,0.22
101700,0.34
101711,0.09
101714,0.09
101715,0.32
101728,0.13
101732,0.05
101757,0.25
101758,0.06
101759,0.09
101762,0.05
101764,0.08
101780,0.27
101784,0.07
101789,0.04
101816,0.09
101819,0.08
101827,0.03
101863,0.13
101867,0.1
101870,0.04
101873,0.16
101878,0.2
101879,0.1
101880,0.06
101887,0.04
101897,0.06
101901,0.15
101903,0.24
101920,0.08
101921,0.03
101922,0.13
101961,0.15
101962,0.08
101971,0.09
101976,0.25
102002,0.11
102005,0.05
102007,0.34
102017,0.03
102019,0.21
102029,0.02
102051,0.18
102052,0.05
102054,0.06
102062,0.08
102067,0.19
102068,0.09
102070,0.06
102090,0.09
102092,0.07
102099,0.13
102100,0.14
102112,0.1
102113,0.02
102122,0.21
102123,0.21
102125,0.03
102126,0.16
102146,0.06
102147,0.13
102151,0.06
102158,0.1
102159,0.04
102162,0.18
102165,0.02
102166,0.04
102174,0.05
102193,0.16
102198,0.08
102205,0.12
102206,0.04
102218,0.06
102221,0.04
102230,0.11
102238,0.11
102248,0.07
102252,0.34
102259,0.12
102262,0.24
102273,0.07
102286,0.15
102293,0.03
102294,0.03
102296,0.08
102298,0.11
102303,0.01
102309,0.07
102315,0.08
102340,0.07
102342,0.11
102344,0.13
102346,0.12
102347,0.08
102374,0.21
102380,0.1
102387,0.14
102393,0.01
102403,0.08
102413,0.12
102414,0.01
102415,0.05
102416,0.12
102439,0.07
102441,0.12
102443,0.05
102444,0.18
102445,0.28
102448,0.04
102449,0.07
102450,0.25
102456,0.06
102458,0.07
102459,0.03
102465,0.03
102470,0.22
102471,0.07
102475,0.09
102476,0.18
102506,0.14
102509,0.03
102519,0.07
102522,0.1
102545,0.1
102549,0.06
102562,0.04
102563,0.02
102568,0.11
102582,0.02
102592,0.01
102597,0.12
102605,0.06
102614,0.1
102617,0.14
102634,0.08
102652,0.04
102655,0.04
102671,0.04
102694,0.09
102701,0.19
102703,0.04
102704,0.04
102713,0.11
102720,0.14
102731,0.08
102733,0.04
102749,0.05
102755,0.02
102763,0.13
102770,0.1
102772,0.14
102799,0.18
102838,0.06
102854,0.05
102862,0.17
102863,0.09
102867,0.06
102868,0.07
102878,0.07
102887,0.14
102898,0.24
102904,0.09
102912,0.08
102919,0.0
102927,0.07
102932,0.05
102933,0.09
102935,0.04
102958,0.06
102969,0.15
102971,0.04
102975,0.03
102979,0.11
102982,0.03
102987,0.11
102989,0.17
102995,0.1
102996,0.14
103000,0.04
103001,0.13
103004,0.12
103010,0.03
103025,0.24
103029,0.09
103046,0.06
103056,0.12
103062,0.16
103078,0.08
103083,0.09
103092,0.12
103096,0.08
103097,0.19
103102,0.12
103112,0.15
103132,0.0
103144,0.15
103145,0.18
103146,0.04
103147,0.13
103158,0.05
103171,0.17
103173,0.14
103184,0.06
103195,0.26
103196,0.05
103206,0.03
103230,0.11
103231,0.18
103232,0.06
103239,0.1
103240,0.18
103243,0.14
103252,0.13
103258,0.09
103259,0.12
103279,0.09
103280,0.04
103286,0.06
103287,0.38
103290,0.05
103298,0.1
103315,0.06
103319,0.07
103334,0.09
103336,0.17
103345,0.04
103368,0.04
103371,0.25
103377,0.15
103398,0.03
103404,0.1
103408,0.22
103410,0.07
103418,0.1
103420,0.2
103432,0.13
103433,0.08
103436,0.04
103440,0.04
103453,0.04
103459,0.15
103460,0.06
103461,0.04
103462,0.13
103473,0.14
103474,0.0
103475,0.23
103478,0.18
103480,0.12
103484,0.01
103494,0.07
103513,0.15
103515,0.11
103516,0.19
103525,0.17
103541,0.13
103544,0.04
103562,0.23
103570,0.38
103572,0.14
103574,0.04
103575,0.08
103591,0.13
103594,0.06
103609,0.04
103613,0.13
103614,0.09
103615,0.16
103624,0.11
103625,0.26
103628,0.25
103629,0.04
103647,0.07
103648,0.08
103651,0.08
103658,0.03
103668,0.04
103669,0.07
103676,0.1
103682,0.04
103683,0.12
103689,0.07
103725,0.03
103733,0.22
103744,0.04
103762,0.1
103771,0.19
103773,0.02
103783,0.06
